Year,State,Democrat_Count,Republican_Count,Democrat_Percentage,Republican_Percentage
2016,GEORGIA,4,10,28.57142857142857,71.42857142857143
2017,GEORGIA,4,10,28.57142857142857,71.42857142857143
2018,GEORGIA,5,9,35.714285714285715,64.28571428571429
2019,GEORGIA,5,9,35.714285714285715,64.28571428571429
2020,GEORGIA,6,8,42.857142857142854,57.14285714285714
2021,GEORGIA,6,8,42.857142857142854,57.14285714285714
2022,GEORGIA,5,9,35.714285714285715,64.28571428571429
2010,HAWAII,2,0,100.0,0.0
2011,HAWAII,2,0,100.0,0.0
2012,HAWAII,2,0,100.0,0.0
2013,HAWAII,2,0,100.0,0.0
2014,HAWAII,2,0,100.0,0.0
2015,HAWAII,2,0,100.0,0.0
2016,HAWAII,2,0,100.0,0.0
2017,HAWAII,2,0,100.0,0.0
2018,HAWAII,2,0,100.0,0.0
2019,HAWAII,2,0,100.0,0.0
2020,HAWAII,2,0,100.0,0.0
2021,HAWAII,2,0,100.0,0.0
2022,HAWAII,2,0,100.0,0.0
2010,IDAHO,0,2,0.0,100.0
2011,IDAHO,0,2,0.0,100.0
2012,IDAHO,0,2,0.0,100.0
2013,IDAHO,0,2,0.0,100.0
2014,IDAHO,0,2,0.0,100.0
2015,IDAHO,0,2,0.0,100.0
2016,IDAHO,0,2,0.0,100.0
2017,IDAHO,0,2,0.0,100.0
2018,IDAHO,0,2,0.0,100.0
2019,IDAHO,0,2,0.0,100.0
2020,IDAHO,0,2,0.0,100.0
2021,IDAHO,0,2,0.0,100.0
2022,IDAHO,0,2,0.0,100.0
2010,ILLINOIS,8,11,42.10526315789473,57.89473684210527
2011,ILLINOIS,8,11,42.10526315789473,57.89473684210527
2012,ILLINOIS,12,6,66.66666666666666,33.33333333333333
2013,ILLINOIS,12,6,66.66666666666666,33.33333333333333
2014,ILLINOIS,10,8,55.55555555555556,44.44444444444444
2015,ILLINOIS,10,8,55.55555555555556,44.44444444444444
2016,ILLINOIS,11,7,61.111111111111114,38.88888888888889
2017,ILLINOIS,11,7,61.111111111111114,38.88888888888889
2018,ILLINOIS,13,5,72.22222222222221,27.77777777777778
2019,ILLINOIS,13,5,72.22222222222221,27.77777777777778
2020,ILLINOIS,13,5,72.22222222222221,27.77777777777778
2021,ILLINOIS,13,5,72.22222222222221,27.77777777777778
2022,ILLINOIS,14,3,82.35294117647058,17.647058823529413
2010,INDIANA,3,6,33.33333333333333,66.66666666666666
2011,INDIANA,3,6,33.33333333333333,66.66666666666666
2012,INDIANA,2,7,22.22222222222222,77.77777777777779
2013,INDIANA,2,7,22.22222222222222,77.77777777777779
2014,INDIANA,2,7,22.22222222222222,77.77777777777779
2015,INDIANA,2,7,22.22222222222222,77.77777777777779
2016,INDIANA,2,7,22.22222222222222,77.77777777777779
2017,INDIANA,2,7,22.22222222222222,77.77777777777779
2018,INDIANA,2,7,22.22222222222222,77.77777777777779
2019,INDIANA,2,7,22.22222222222222,77.77777777777779
2020,INDIANA,2,7,22.22222222222222,77.77777777777779
2021,INDIANA,2,7,22.22222222222222,77.77777777777779
2022,INDIANA,2,7,22.22222222222222,77.77777777777779
2010,IOWA,3,2,60.0,40.0
2011,IOWA,3,2,60.0,40.0
2012,IOWA,2,2,50.0,50.0
2013,IOWA,2,2,50.0,50.0
2014,IOWA,1,3,25.0,75.0
2015,IOWA,1,3,25.0,75.0
2016,IOWA,1,3,25.0,75.0
2017,IOWA,1,3,25.0,75.0
2018,IOWA,3,1,75.0,25.0
2019,IOWA,3,1,75.0,25.0
2020,IOWA,1,3,25.0,75.0
2021,IOWA,1,3,25.0,75.0
2022,IOWA,0,4,0.0,100.0
2010,KANSAS,0,4,0.0,100.0
2011,KANSAS,0,4,0.0,100.0
2012,KANSAS,0,4,0.0,100.0
2013,KANSAS,0,4,0.0,100.0
2014,KANSAS,0,4,0.0,100.0
2015,KANSAS,0,4,0.0,100.0
2016,KANSAS,0,4,0.0,100.0
2017,KANSAS,0,4,0.0,100.0
2018,KANSAS,1,3,25.0,75.0
2019,KANSAS,1,3,25.0,75.0
2020,KANSAS,1,3,25.0,75.0
2021,KANSAS,1,3,25.0,75.0
2022,KANSAS,1,3,25.0,75.0
2010,KENTUCKY,2,4,33.33333333333333,66.66666666666666
2011,KENTUCKY,2,4,33.33333333333333,66.66666666666666
2012,KENTUCKY,1,5,16.666666666666664,83.33333333333334
2013,KENTUCKY,1,5,16.666666666666664,83.33333333333334
2014,KENTUCKY,1,5,16.666666666666664,83.33333333333334
2015,KENTUCKY,1,5,16.666666666666664,83.33333333333334
2016,KENTUCKY,1,5,16.666666666666664,83.33333333333334
2017,KENTUCKY,1,5,16.666666666666664,83.33333333333334
2018,KENTUCKY,1,5,16.666666666666664,83.33333333333334
2019,KENTUCKY,1,5,16.666666666666664,83.33333333333334
2020,KENTUCKY,1,5,16.666666666666664,83.33333333333334
2021,KENTUCKY,1,5,16.666666666666664,83.33333333333334
2022,KENTUCKY,1,5,16.666666666666664,83.33333333333334
2010,LOUISIANA,1,6,14.285714285714285,85.71428571428571
2011,LOUISIANA,1,6,14.285714285714285,85.71428571428571
2012,LOUISIANA,1,5,16.666666666666664,83.33333333333334
2013,LOUISIANA,1,5,16.666666666666664,83.33333333333334
2014,LOUISIANA,1,5,16.666666666666664,83.33333333333334
2015,LOUISIANA,1,5,16.666666666666664,83.33333333333334
2016,LOUISIANA,1,5,16.666666666666664,83.33333333333334
2017,LOUISIANA,1,5,16.666666666666664,83.33333333333334
2018,LOUISIANA,1,5,16.666666666666664,83.33333333333334
2019,LOUISIANA,1,5,16.666666666666664,83.33333333333334
2020,LOUISIANA,1,5,16.666666666666664,83.33333333333334
2021,LOUISIANA,1,5,16.666666666666664,83.33333333333334
2022,LOUISIANA,1,5,16.666666666666664,83.33333333333334
2010,MAINE,2,0,100.0,0.0
2011,MAINE,2,0,100.0,0.0
2012,MAINE,2,0,100.0,0.0
2013,MAINE,2,0,100.0,0.0
2014,MAINE,1,1,50.0,50.0
2015,MAINE,1,1,50.0,50.0
2016,MAINE,1,1,50.0,50.0
2017,MAINE,1,1,50.0,50.0
2018,MAINE,2,0,100.0,0.0
2019,MAINE,2,0,100.0,0.0
2020,MAINE,2,0,100.0,0.0
2021,MAINE,2,0,100.0,0.0
2022,MAINE,1,0,100.0,0.0
2010,MARYLAND,6,2,75.0,25.0
2011,MARYLAND,6,2,75.0,25.0
2012,MARYLAND,7,1,87.5,12.5
2013,MARYLAND,7,1,87.5,12.5
2014,MARYLAND,7,1,87.5,12.5
2015,MARYLAND,7,1,87.5,12.5
2016,MARYLAND,7,1,87.5,12.5
2017,MARYLAND,7,1,87.5,12.5
2018,MARYLAND,7,1,87.5,12.5
2019,MARYLAND,7,1,87.5,12.5
2020,MARYLAND,7,1,87.5,12.5
2021,MARYLAND,7,1,87.5,12.5
2022,MARYLAND,7,1,87.5,12.5
2010,MASSACHUSETTS,10,0,100.0,0.0
2011,MASSACHUSETTS,10,0,100.0,0.0
2012,MASSACHUSETTS,9,0,100.0,0.0
2013,MASSACHUSETTS,9,0,100.0,0.0
2014,MASSACHUSETTS,9,0,100.0,0.0
2015,MASSACHUSETTS,9,0,100.0,0.0
2016,MASSACHUSETTS,9,0,100.0,0.0
2017,MASSACHUSETTS,9,0,100.0,0.0
2018,MASSACHUSETTS,9,0,100.0,0.0
2019,MASSACHUSETTS,9,0,100.0,0.0
2020,MASSACHUSETTS,9,0,100.0,0.0
2021,MASSACHUSETTS,9,0,100.0,0.0
2022,MASSACHUSETTS,9,0,100.0,0.0
2010,MICHIGAN,6,9,40.0,60.0
2011,MICHIGAN,6,9,40.0,60.0
2012,MICHIGAN,5,9,35.714285714285715,64.28571428571429
2013,MICHIGAN,5,9,35.714285714285715,64.28571428571429
2014,MICHIGAN,5,9,35.714285714285715,64.28571428571429
2015,MICHIGAN,5,9,35.714285714285715,64.28571428571429
2016,MICHIGAN,5,9,35.714285714285715,64.28571428571429
2017,MICHIGAN,5,9,35.714285714285715,64.28571428571429
2018,MICHIGAN,7,7,50.0,50.0
2019,MICHIGAN,7,7,50.0,50.0
2020,MICHIGAN,7,7,50.0,50.0
2021,MICHIGAN,7,7,50.0,50.0
2022,MICHIGAN,7,6,53.84615384615385,46.15384615384615
2010,MINNESOTA,4,4,50.0,50.0
2011,MINNESOTA,4,4,50.0,50.0
2012,MINNESOTA,4,3,57.14285714285714,42.857142857142854
2013,MINNESOTA,4,3,57.14285714285714,42.857142857142854
2014,MINNESOTA,2,3,40.0,60.0
2015,MINNESOTA,2,3,40.0,60.0
2016,MINNESOTA,5,3,62.5,37.5
2017,MINNESOTA,5,3,62.5,37.5
2018,MINNESOTA,0,3,0.0,100.0
2019,MINNESOTA,0,3,0.0,100.0
2020,MINNESOTA,4,4,50.0,50.0
2021,MINNESOTA,4,4,50.0,50.0
2022,MINNESOTA,4,4,50.0,50.0
2010,MISSISSIPPI,1,3,25.0,75.0
2011,MISSISSIPPI,1,3,25.0,75.0
2012,MISSISSIPPI,1,3,25.0,75.0
2013,MISSISSIPPI,1,3,25.0,75.0
2014,MISSISSIPPI,1,3,25.0,75.0
2015,MISSISSIPPI,1,3,25.0,75.0
2016,MISSISSIPPI,1,3,25.0,75.0
2017,MISSISSIPPI,1,3,25.0,75.0
2018,MISSISSIPPI,1,3,25.0,75.0
2019,MISSISSIPPI,1,3,25.0,75.0
2020,MISSISSIPPI,1,3,25.0,75.0
2021,MISSISSIPPI,1,3,25.0,75.0
2022,MISSISSIPPI,1,3,25.0,75.0
2010,MISSOURI,3,6,33.33333333333333,66.66666666666666
2011,MISSOURI,3,6,33.33333333333333,66.66666666666666
2012,MISSOURI,2,6,25.0,75.0
2013,MISSOURI,2,6,25.0,75.0
2014,MISSOURI,2,6,25.0,75.0
2015,MISSOURI,2,6,25.0,75.0
2016,MISSOURI,2,6,25.0,75.0
2017,MISSOURI,2,6,25.0,75.0
2018,MISSOURI,2,6,25.0,75.0
2019,MISSOURI,2,6,25.0,75.0
2020,MISSOURI,2,6,25.0,75.0
2021,MISSOURI,2,6,25.0,75.0
2022,MISSOURI,2,6,25.0,75.0
2010,MONTANA,0,1,0.0,100.0
2011,MONTANA,0,1,0.0,100.0
2012,MONTANA,0,1,0.0,100.0
2013,MONTANA,0,1,0.0,100.0
2014,MONTANA,0,1,0.0,100.0
2015,MONTANA,0,1,0.0,100.0
2016,MONTANA,0,1,0.0,100.0
2017,MONTANA,0,1,0.0,100.0
2018,MONTANA,0,1,0.0,100.0
2019,MONTANA,0,1,0.0,100.0
2020,MONTANA,0,1,0.0,100.0
2021,MONTANA,0,1,0.0,100.0
2022,MONTANA,0,2,0.0,100.0
2010,NEBRASKA,0,3,0.0,100.0
2011,NEBRASKA,0,3,0.0,100.0
2012,NEBRASKA,0,3,0.0,100.0
2013,NEBRASKA,0,3,0.0,100.0
2014,NEBRASKA,1,2,33.33333333333333,66.66666666666666
2015,NEBRASKA,1,2,33.33333333333333,66.66666666666666
2016,NEBRASKA,0,3,0.0,100.0
2017,NEBRASKA,0,3,0.0,100.0
2018,NEBRASKA,0,3,0.0,100.0
2019,NEBRASKA,0,3,0.0,100.0
2020,NEBRASKA,0,3,0.0,100.0
2021,NEBRASKA,0,3,0.0,100.0
2022,NEBRASKA,0,3,0.0,100.0
2010,NEVADA,1,2,33.33333333333333,66.66666666666666
2011,NEVADA,1,2,33.33333333333333,66.66666666666666
2012,NEVADA,2,2,50.0,50.0
2013,NEVADA,2,2,50.0,50.0
2014,NEVADA,1,3,25.0,75.0
2015,NEVADA,1,3,25.0,75.0
2016,NEVADA,3,1,75.0,25.0
2017,NEVADA,3,1,75.0,25.0
2018,NEVADA,3,1,75.0,25.0
2019,NEVADA,3,1,75.0,25.0
2020,NEVADA,3,1,75.0,25.0
2021,NEVADA,3,1,75.0,25.0
2022,NEVADA,3,1,75.0,25.0
2010,NEW HAMPSHIRE,0,2,0.0,100.0
2011,NEW HAMPSHIRE,0,2,0.0,100.0
2012,NEW HAMPSHIRE,2,0,100.0,0.0
2013,NEW HAMPSHIRE,2,0,100.0,0.0
2014,NEW HAMPSHIRE,1,1,50.0,50.0
2015,NEW HAMPSHIRE,1,1,50.0,50.0
2016,NEW HAMPSHIRE,2,0,100.0,0.0
2017,NEW HAMPSHIRE,2,0,100.0,0.0
2018,NEW HAMPSHIRE,2,0,100.0,0.0
2019,NEW HAMPSHIRE,2,0,100.0,0.0
2020,NEW HAMPSHIRE,2,0,100.0,0.0
2021,NEW HAMPSHIRE,2,0,100.0,0.0
2022,NEW HAMPSHIRE,2,0,100.0,0.0
2010,NEW JERSEY,7,6,53.84615384615385,46.15384615384615
2011,NEW JERSEY,7,6,53.84615384615385,46.15384615384615
2012,NEW JERSEY,6,6,50.0,50.0
2013,NEW JERSEY,6,6,50.0,50.0
2014,NEW JERSEY,6,6,50.0,50.0
2015,NEW JERSEY,6,6,50.0,50.0
2016,NEW JERSEY,7,5,58.333333333333336,41.66666666666667
2017,NEW JERSEY,7,5,58.333333333333336,41.66666666666667
2018,NEW JERSEY,11,1,91.66666666666666,8.333333333333332
2019,NEW JERSEY,11,1,91.66666666666666,8.333333333333332
2020,NEW JERSEY,10,2,83.33333333333334,16.666666666666664
2021,NEW JERSEY,10,2,83.33333333333334,16.666666666666664
2022,NEW JERSEY,9,3,75.0,25.0
2010,NEW MEXICO,2,1,66.66666666666666,33.33333333333333
2011,NEW MEXICO,2,1,66.66666666666666,33.33333333333333
2012,NEW MEXICO,2,1,66.66666666666666,33.33333333333333
2013,NEW MEXICO,2,1,66.66666666666666,33.33333333333333
2014,NEW MEXICO,2,1,66.66666666666666,33.33333333333333
2015,NEW MEXICO,2,1,66.66666666666666,33.33333333333333
2016,NEW MEXICO,2,1,66.66666666666666,33.33333333333333
2017,NEW MEXICO,2,1,66.66666666666666,33.33333333333333
2018,NEW MEXICO,3,0,100.0,0.0
2019,NEW MEXICO,3,0,100.0,0.0
2020,NEW MEXICO,2,1,66.66666666666666,33.33333333333333
2021,NEW MEXICO,2,1,66.66666666666666,33.33333333333333
2022,NEW MEXICO,3,0,100.0,0.0
2010,NEW YORK,25,4,86.20689655172413,13.793103448275861
2011,NEW YORK,25,4,86.20689655172413,13.793103448275861
2012,NEW YORK,22,5,81.48148148148148,18.51851851851852
2013,NEW YORK,22,5,81.48148148148148,18.51851851851852
2014,NEW YORK,18,9,66.66666666666666,33.33333333333333
2015,NEW YORK,18,9,66.66666666666666,33.33333333333333
2016,NEW YORK,18,9,66.66666666666666,33.33333333333333
2017,NEW YORK,18,9,66.66666666666666,33.33333333333333
2018,NEW YORK,24,3,88.88888888888889,11.11111111111111
2019,NEW YORK,24,3,88.88888888888889,11.11111111111111
2020,NEW YORK,19,8,70.37037037037037,29.629629629629626
2021,NEW YORK,19,8,70.37037037037037,29.629629629629626
2022,NEW YORK,18,8,69.23076923076923,30.76923076923077
2010,NORTH CAROLINA,7,6,53.84615384615385,46.15384615384615
2011,NORTH CAROLINA,7,6,53.84615384615385,46.15384615384615
2012,NORTH CAROLINA,4,9,30.76923076923077,69.23076923076923
2013,NORTH CAROLINA,4,9,30.76923076923077,69.23076923076923
2014,NORTH CAROLINA,3,10,23.076923076923077,76.92307692307693
2015,NORTH CAROLINA,3,10,23.076923076923077,76.92307692307693
2016,NORTH CAROLINA,3,10,23.076923076923077,76.92307692307693
2017,NORTH CAROLINA,3,10,23.076923076923077,76.92307692307693
2018,NORTH CAROLINA,3,10,23.076923076923077,76.92307692307693
2019,NORTH CAROLINA,3,10,23.076923076923077,76.92307692307693
2020,NORTH CAROLINA,5,8,38.46153846153847,61.53846153846154
2021,NORTH CAROLINA,5,8,38.46153846153847,61.53846153846154
2022,NORTH CAROLINA,7,7,50.0,50.0
2010,NORTH DAKOTA,0,1,0.0,100.0
2011,NORTH DAKOTA,0,1,0.0,100.0
2012,NORTH DAKOTA,0,1,0.0,100.0
2013,NORTH DAKOTA,0,1,0.0,100.0
2014,NORTH DAKOTA,0,1,0.0,100.0
2015,NORTH DAKOTA,0,1,0.0,100.0
2016,NORTH DAKOTA,0,1,0.0,100.0
2017,NORTH DAKOTA,0,1,0.0,100.0
2018,NORTH DAKOTA,0,1,0.0,100.0
2019,NORTH DAKOTA,0,1,0.0,100.0
2020,NORTH DAKOTA,0,1,0.0,100.0
2021,NORTH DAKOTA,0,1,0.0,100.0
2022,NORTH DAKOTA,0,1,0.0,100.0
2010,OHIO,5,13,27.77777777777778,72.22222222222221
2011,OHIO,5,13,27.77777777777778,72.22222222222221
2012,OHIO,4,12,25.0,75.0
2013,OHIO,4,12,25.0,75.0
2014,OHIO,4,12,25.0,75.0
2015,OHIO,4,12,25.0,75.0
2016,OHIO,4,12,25.0,75.0
2017,OHIO,4,12,25.0,75.0
2018,OHIO,4,12,25.0,75.0
2019,OHIO,4,12,25.0,75.0
2020,OHIO,4,12,25.0,75.0
2021,OHIO,4,12,25.0,75.0
2022,OHIO,5,10,33.33333333333333,66.66666666666666
2010,OKLAHOMA,1,4,20.0,80.0
2011,OKLAHOMA,1,4,20.0,80.0
2012,OKLAHOMA,0,5,0.0,100.0
2013,OKLAHOMA,0,5,0.0,100.0
2014,OKLAHOMA,0,5,0.0,100.0
2015,OKLAHOMA,0,5,0.0,100.0
2016,OKLAHOMA,0,5,0.0,100.0
2017,OKLAHOMA,0,5,0.0,100.0
2018,OKLAHOMA,1,4,20.0,80.0
2019,OKLAHOMA,1,4,20.0,80.0
2020,OKLAHOMA,0,5,0.0,100.0
2021,OKLAHOMA,0,5,0.0,100.0
2022,OKLAHOMA,0,5,0.0,100.0
2010,OREGON,4,1,80.0,20.0
2011,OREGON,4,1,80.0,20.0
2012,OREGON,4,1,80.0,20.0
2013,OREGON,4,1,80.0,20.0
2014,OREGON,4,1,80.0,20.0
2015,OREGON,4,1,80.0,20.0
2016,OREGON,4,1,80.0,20.0
2017,OREGON,4,1,80.0,20.0
2018,OREGON,4,1,80.0,20.0
2019,OREGON,4,1,80.0,20.0
2020,OREGON,4,1,80.0,20.0
2021,OREGON,4,1,80.0,20.0
2022,OREGON,4,2,66.66666666666666,33.33333333333333
2010,PENNSYLVANIA,7,12,36.84210526315789,63.1578947368421
2011,PENNSYLVANIA,7,12,36.84210526315789,63.1578947368421
2012,PENNSYLVANIA,5,13,27.77777777777778,72.22222222222221
2013,PENNSYLVANIA,5,13,27.77777777777778,72.22222222222221
2014,PENNSYLVANIA,5,13,27.77777777777778,72.22222222222221
2015,PENNSYLVANIA,5,13,27.77777777777778,72.22222222222221
2016,PENNSYLVANIA,5,13,27.77777777777778,72.22222222222221
2017,PENNSYLVANIA,5,13,27.77777777777778,72.22222222222221
2018,PENNSYLVANIA,9,9,50.0,50.0
2019,PENNSYLVANIA,9,9,50.0,50.0
2020,PENNSYLVANIA,9,9,50.0,50.0
2021,PENNSYLVANIA,9,9,50.0,50.0
2022,PENNSYLVANIA,9,8,52.94117647058824,47.05882352941176
2010,RHODE ISLAND,2,0,100.0,0.0
2011,RHODE ISLAND,2,0,100.0,0.0
2012,RHODE ISLAND,2,0,100.0,0.0
2013,RHODE ISLAND,2,0,100.0,0.0
2014,RHODE ISLAND,2,0,100.0,0.0
2015,RHODE ISLAND,2,0,100.0,0.0
2016,RHODE ISLAND,2,0,100.0,0.0
2017,RHODE ISLAND,2,0,100.0,0.0
2018,RHODE ISLAND,2,0,100.0,0.0
2019,RHODE ISLAND,2,0,100.0,0.0
2020,RHODE ISLAND,2,0,100.0,0.0
2021,RHODE ISLAND,2,0,100.0,0.0
2022,RHODE ISLAND,2,0,100.0,0.0
2010,SOUTH CAROLINA,1,5,16.666666666666664,83.33333333333334
2011,SOUTH CAROLINA,1,5,16.666666666666664,83.33333333333334
2012,SOUTH CAROLINA,1,6,14.285714285714285,85.71428571428571
2013,SOUTH CAROLINA,1,6,14.285714285714285,85.71428571428571
2014,SOUTH CAROLINA,1,6,14.285714285714285,85.71428571428571
2015,SOUTH CAROLINA,1,6,14.285714285714285,85.71428571428571
2016,SOUTH CAROLINA,1,6,14.285714285714285,85.71428571428571
2017,SOUTH CAROLINA,1,6,14.285714285714285,85.71428571428571
2018,SOUTH CAROLINA,2,5,28.57142857142857,71.42857142857143
2019,SOUTH CAROLINA,2,5,28.57142857142857,71.42857142857143
2020,SOUTH CAROLINA,1,6,14.285714285714285,85.71428571428571
2021,SOUTH CAROLINA,1,6,14.285714285714285,85.71428571428571
2022,SOUTH CAROLINA,1,6,14.285714285714285,85.71428571428571
2010,SOUTH DAKOTA,0,1,0.0,100.0
2011,SOUTH DAKOTA,0,1,0.0,100.0
2012,SOUTH DAKOTA,0,1,0.0,100.0
2013,SOUTH DAKOTA,0,1,0.0,100.0
2014,SOUTH DAKOTA,0,1,0.0,100.0
2015,SOUTH DAKOTA,0,1,0.0,100.0
2016,SOUTH DAKOTA,0,1,0.0,100.0
2017,SOUTH DAKOTA,0,1,0.0,100.0
2018,SOUTH DAKOTA,0,1,0.0,100.0
2019,SOUTH DAKOTA,0,1,0.0,100.0
2020,SOUTH DAKOTA,0,1,0.0,100.0
2021,SOUTH DAKOTA,0,1,0.0,100.0
2022,SOUTH DAKOTA,0,1,0.0,100.0
