Year,State,Democrat_Count,Republican_Count,Democrat_Percentage,Republican_Percentage
2016,NEW JERSEY,1,0,100,0
2017,NEW JERSEY,1,0,100,0
2018,NEW JERSEY,1,0,100,0
2019,NEW JERSEY,1,0,100,0
2020,NEW JERSEY,1,0,100,0
2021,NEW JERSEY,1,0,100,0
2022,NEW JERSEY,1,0,100,0
2010,NEW MEXICO,0,0,0,0
2011,NEW MEXICO,0,0,0,0
2012,NEW MEXICO,1,0,100,0
2013,NEW MEXICO,1,0,100,0
2014,NEW MEXICO,1,0,100,0
2015,NEW MEXICO,1,0,100,0
2016,NEW MEXICO,1,0,100,0
2017,NEW MEXICO,1,0,100,0
2018,NEW MEXICO,1,0,100,0
2019,NEW MEXICO,1,0,100,0
2020,NEW MEXICO,1,0,100,0
2021,NEW MEXICO,1,0,100,0
2022,NEW MEXICO,1,0,100,0
2010,NEW YORK,2,0,100,0
2011,NEW YORK,2,0,100,0
2012,NEW YORK,1,0,100,0
2013,NEW YORK,1,0,100,0
2014,NEW YORK,1,0,100,0
2015,NEW YORK,1,0,100,0
2016,NEW YORK,1,0,100,0
2017,NEW YORK,1,0,100,0
2018,NEW YORK,1,0,100,0
2019,NEW YORK,1,0,100,0
2020,NEW YORK,1,0,100,0
2021,NEW YORK,1,0,100,0
2022,NEW YORK,1,0,100,0
2010,NORTH CAROLINA,0,1,0,100
2011,NORTH CAROLINA,0,1,0,100
2012,NORTH CAROLINA,0,1,0,100
2013,NORTH CAROLINA,0,1,0,100
2014,NORTH CAROLINA,0,1,0,100
2015,NORTH CAROLINA,0,1,0,100
2016,NORTH CAROLINA,0,1,0,100
2017,NORTH CAROLINA,0,1,0,100
2018,NORTH CAROLINA,0,1,0,100
2019,NORTH CAROLINA,0,1,0,100
2020,NORTH CAROLINA,0,1,0,100
2021,NORTH CAROLINA,0,1,0,100
2022,NORTH CAROLINA,0,1,0,100
2010,NORTH DAKOTA,0,1,0,100
2011,NORTH DAKOTA,0,1,0,100
2012,NORTH DAKOTA,1,0,100,0
2013,NORTH DAKOTA,1,0,100,0
2014,NORTH DAKOTA,1,0,100,0
2015,NORTH DAKOTA,1,0,100,0
2016,NORTH DAKOTA,0,1,0,100
2017,NORTH DAKOTA,0,1,0,100
2018,NORTH DAKOTA,0,1,0,100
2019,NORTH DAKOTA,0,1,0,100
2020,NORTH DAKOTA,0,1,0,100
2021,NORTH DAKOTA,0,1,0,100
2022,NORTH DAKOTA,0,1,0,100
2010,OHIO,0,1,0,100
2011,OHIO,0,1,0,100
2012,OHIO,1,0,100,0
2013,OHIO,1,0,100,0
2014,OHIO,1,0,100,0
2015,OHIO,1,0,100,0
2016,OHIO,0,1,0,100
2017,OHIO,0,1,0,100
2018,OHIO,1,0,100,0
2019,OHIO,1,0,100,0
2020,OHIO,1,0,100,0
2021,OHIO,1,0,100,0
2022,OHIO,1,0,100,0
2010,OKLAHOMA,0,1,0,100
2011,OKLAHOMA,0,1,0,100
2012,OKLAHOMA,0,1,0,100
2013,OKLAHOMA,0,1,0,100
2014,OKLAHOMA,0,1,0,100
2015,OKLAHOMA,0,1,0,100
2016,OKLAHOMA,0,1,0,100
2017,OKLAHOMA,0,1,0,100
2018,OKLAHOMA,0,1,0,100
2019,OKLAHOMA,0,1,0,100
2020,OKLAHOMA,0,1,0,100
2021,OKLAHOMA,0,1,0,100
2022,OKLAHOMA,0,1,0,100
2010,OREGON,1,0,100,0
2011,OREGON,1,0,100,0
2012,OREGON,1,0,100,0
2013,OREGON,1,0,100,0
2014,OREGON,1,0,100,0
2015,OREGON,1,0,100,0
2016,OREGON,1,0,100,0
2017,OREGON,1,0,100,0
2018,OREGON,1,0,100,0
2019,OREGON,1,0,100,0
2020,OREGON,1,0,100,0
2021,OREGON,1,0,100,0
2022,OREGON,1,0,100,0
2010,PENNSYLVANIA,0,1,0,100
2011,PENNSYLVANIA,0,1,0,100
2012,PENNSYLVANIA,1,0,100,0
2013,PENNSYLVANIA,1,0,100,0
2014,PENNSYLVANIA,1,0,100,0
2015,PENNSYLVANIA,1,0,100,0
2016,PENNSYLVANIA,0,1,0,100
2017,PENNSYLVANIA,0,1,0,100
2018,PENNSYLVANIA,1,0,100,0
2019,PENNSYLVANIA,1,0,100,0
2020,PENNSYLVANIA,1,0,100,0
2021,PENNSYLVANIA,1,0,100,0
2022,PENNSYLVANIA,1,0,100,0
2010,RHODE ISLAND,0,0,0,0
2011,RHODE ISLAND,0,0,0,0
2012,RHODE ISLAND,1,0,100,0
2013,RHODE ISLAND,1,0,100,0
2014,RHODE ISLAND,1,0,100,0
2015,RHODE ISLAND,1,0,100,0
2016,RHODE ISLAND,1,0,100,0
2017,RHODE ISLAND,1,0,100,0
2018,RHODE ISLAND,1,0,100,0
2019,RHODE ISLAND,1,0,100,0
2020,RHODE ISLAND,1,0,100,0
2021,RHODE ISLAND,1,0,100,0
2022,RHODE ISLAND,1,0,100,0
2010,SOUTH CAROLINA,0,1,0,100
2011,SOUTH CAROLINA,0,1,0,100
2012,SOUTH CAROLINA,0,1,0,100
2013,SOUTH CAROLINA,0,1,0,100
2014,SOUTH CAROLINA,0,1,0,100
2015,SOUTH CAROLINA,0,1,0,100
2016,SOUTH CAROLINA,0,1,0,100
2017,SOUTH CAROLINA,0,1,0,100
2018,SOUTH CAROLINA,0,1,0,100
2019,SOUTH CAROLINA,0,1,0,100
2020,SOUTH CAROLINA,0,1,0,100
2021,SOUTH CAROLINA,0,1,0,100
2022,SOUTH CAROLINA,0,1,0,100
2010,SOUTH DAKOTA,0,1,0,100
2011,SOUTH DAKOTA,0,1,0,100
2012,SOUTH DAKOTA,0,1,0,100
2013,SOUTH DAKOTA,0,1,0,100
2014,SOUTH DAKOTA,0,1,0,100
2015,SOUTH DAKOTA,0,1,0,100
2016,SOUTH DAKOTA,0,1,0,100
2017,SOUTH DAKOTA,0,1,0,100
2018,SOUTH DAKOTA,0,1,0,100
2019,SOUTH DAKOTA,0,1,0,100
2020,SOUTH DAKOTA,0,1,0,100
2021,SOUTH DAKOTA,0,1,0,100
2022,SOUTH DAKOTA,0,1,0,100
2010,TENNESSEE,0,0,0,0
2011,TENNESSEE,0,0,0,0
2012,TENNESSEE,0,1,0,100
2013,TENNESSEE,0,1,0,100
2014,TENNESSEE,0,1,0,100
2015,TENNESSEE,0,1,0,100
2016,TENNESSEE,0,1,0,100
2017,TENNESSEE,0,1,0,100
2018,TENNESSEE,0,1,0,100
2019,TENNESSEE,0,1,0,100
2020,TENNESSEE,0,1,0,100
2021,TENNESSEE,0,1,0,100
2022,TENNESSEE,0,1,0,100
2010,TEXAS,0,0,0,0
2011,TEXAS,0,0,0,0
2012,TEXAS,0,1,0,100
2013,TEXAS,0,1,0,100
2014,TEXAS,0,1,0,100
2015,TEXAS,0,1,0,100
2016,TEXAS,0,1,0,100
2017,TEXAS,0,1,0,100
2018,TEXAS,0,1,0,100
2019,TEXAS,0,1,0,100
2020,TEXAS,0,1,0,100
2021,TEXAS,0,1,0,100
2022,TEXAS,0,1,0,100
2010,UTAH,0,1,0,100
2011,UTAH,0,1,0,100
2012,UTAH,0,1,0,100
2013,UTAH,0,1,0,100
2014,UTAH,0,1,0,100
2015,UTAH,0,1,0,100
2016,UTAH,0,1,0,100
2017,UTAH,0,1,0,100
2018,UTAH,0,1,0,100
2019,UTAH,0,1,0,100
2020,UTAH,0,1,0,100
2021,UTAH,0,1,0,100
2022,UTAH,0,1,0,100
2010,VERMONT,1,0,100,0
2011,VERMONT,1,0,100,0
2012,VERMONT,1,0,100,0
2013,VERMONT,1,0,100,0
2014,VERMONT,1,0,100,0
2015,VERMONT,1,0,100,0
2016,VERMONT,1,0,100,0
2017,VERMONT,1,0,100,0
2018,VERMONT,1,0,100,0
2019,VERMONT,1,0,100,0
2020,VERMONT,1,0,100,0
2021,VERMONT,1,0,100,0
2022,VERMONT,1,0,100,0
2010,VIRGINIA,0,0,0,0
2011,VIRGINIA,0,0,0,0
2012,VIRGINIA,1,0,100,0
2013,VIRGINIA,1,0,100,0
2014,VIRGINIA,1,0,100,0
2015,VIRGINIA,1,0,100,0
2016,VIRGINIA,1,0,100,0
2017,VIRGINIA,1,0,100,0
2018,VIRGINIA,1,0,100,0
2019,VIRGINIA,1,0,100,0
2020,VIRGINIA,1,0,100,0
2021,VIRGINIA,1,0,100,0
2022,VIRGINIA,1,0,100,0
2010,WASHINGTON,1,0,100,0
2011,WASHINGTON,1,0,100,0
2012,WASHINGTON,1,0,100,0
2013,WASHINGTON,1,0,100,0
2014,WASHINGTON,1,0,100,0
2015,WASHINGTON,1,0,100,0
2016,WASHINGTON,1,0,100,0
2017,WASHINGTON,1,0,100,0
2018,WASHINGTON,1,0,100,0
2019,WASHINGTON,1,0,100,0
2020,WASHINGTON,1,0,100,0
2021,WASHINGTON,1,0,100,0
2022,WASHINGTON,1,0,100,0
2010,WEST VIRGINIA,1,0,100,0
2011,WEST VIRGINIA,1,0,100,0
2012,WEST VIRGINIA,1,0,100,0
2013,WEST VIRGINIA,1,0,100,0
2014,WEST VIRGINIA,0,1,0,100
2015,WEST VIRGINIA,0,1,0,100
2016,WEST VIRGINIA,0,1,0,100
2017,WEST VIRGINIA,0,1,0,100
2018,WEST VIRGINIA,1,0,100,0
2019,WEST VIRGINIA,1,0,100,0
2020,WEST VIRGINIA,0,1,0,100
2021,WEST VIRGINIA,0,1,0,100
2022,WEST VIRGINIA,0,1,0,100
2010,WISCONSIN,0,1,0,100
2011,WISCONSIN,0,1,0,100
2012,WISCONSIN,1,0,100,0
2013,WISCONSIN,1,0,100,0
2014,WISCONSIN,1,0,100,0
2015,WISCONSIN,1,0,100,0
2016,WISCONSIN,0,1,0,100
2017,WISCONSIN,0,1,0,100
2018,WISCONSIN,1,0,100,0
2019,WISCONSIN,1,0,100,0
2020,WISCONSIN,1,0,100,0
2021,WISCONSIN,1,0,100,0
2022,WISCONSIN,1,0,100,0
2010,WYOMING,0,0,0,0
2011,WYOMING,0,0,0,0
2012,WYOMING,0,1,0,100
2013,WYOMING,0,1,0,100
2014,WYOMING,0,1,0,100
2015,WYOMING,0,1,0,100
2016,WYOMING,0,1,0,100
2017,WYOMING,0,1,0,100
2018,WYOMING,0,1,0,100
2019,WYOMING,0,1,0,100
2020,WYOMING,0,1,0,100
2021,WYOMING,0,1,0,100
2022,WYOMING,0,1,0,100
