state,dem_votes,rep_votes,total_votes,winner_margin,winner,presidential_points,legislature_control,chamber_control,margin_control,length_control,governor_party,governor_points,governor_margin_victory,governor_length_control,total_index,democratic_points,republican_points,overall_leaning,party_margin
Kentucky,772474,1326646,2136768,25.9350570581364,R,15,R,20,10,10,D,15,5,2,77,22.0,55.0,Republican,42.86
Kansas,570323,771406,1373986,14.635010837082765,R,12,R,20,9,10,D,15,5,3,74,23.0,51.0,Republican,37.84
Louisiana,856034,1255776,2148062,18.609425612482323,R,15,R,20,10,10,D,15,7,3,80,25.0,55.0,Republican,37.5
Maryland,1985023,976414,3037030,33.21037329232836,D,15,D,20,10,10,R,15,7,4,81,55.0,26.0,Democratic,35.8
Massachusetts,2382202,1167202,3631402,33.45815197546292,D,15,D,20,10,10,R,15,8,4,82,55.0,27.0,Democratic,34.15
Vermont,242820,112704,367428,35.41265227473138,D,15,D,20,10,10,R,15,8,4,82,55.0,27.0,Democratic,34.15
North Carolina,2684292,2758775,5524804,1.3481564232866905,R,3,R,20,8,10,D,15,5,3,64,23.0,41.0,Republican,28.12
Michigan,2804040,2649852,5539302,2.7835275996867477,D,3,R,20,8,10,D,15,5,3,64,26.0,38.0,Republican,18.75
Pennsylvania,3458229,3377674,6936976,1.1612408634540468,D,3,R,20,8,10,D,15,5,3,64,26.0,38.0,Republican,18.75
Wisconsin,1630866,1610184,3298041,0.6270995418189161,D,3,R,20,8,10,D,15,5,3,64,26.0,38.0,Republican,18.75
